Platform,Sum of Likes,Sum of Post Day,Sum of Followers,Sum of Comments,Sum of Shares,Region,Sum of Reach,Sum of Post year,Sum of Post Month,Year,Quarter,Month,Day,Count of Post_ID,Platform Code,Content_Type,Sum of Engagement,Engagement Level,Reach Category
Facebook,19925,15,88548,2697,2962,East,212943,2024,1,2024,Qtr 1,January,15,1,FB,Reel,25584,High,Low Reach
Facebook,5741,4,313039,460,2696,East,913799,2024,2,2024,Qtr 1,February,4,1,FB,Image,8897,Low,High Reach
Facebook,11732,5,406969,3772,1708,East,365895,2024,2,2024,Qtr 1,February,5,1,FB,Reel,17212,Medium,Low Reach
Facebook,4700,24,40018,171,1385,East,724261,2024,2,2024,Qtr 1,February,24,1,FB,Text,6256,Low,High Reach
Facebook,2276,28,260276,4749,1179,East,982894,2024,2,2024,Qtr 1,February,28,1,FB,Image,8204,Low,High Reach
Facebook,8345,24,332092,2374,323,East,834258,2024,3,2024,Qtr 1,March,24,1,FB,Image,11042,Medium,High Reach
Facebook,15290,7,388900,3462,1734,East,836355,2024,4,2024,Qtr 2,April,7,1,FB,Image,20486,High,High Reach
Facebook,5957,9,396379,236,2387,East,233225,2024,5,2024,Qtr 2,May,9,1,FB,Image,8580,Low,Low Reach
Facebook,12454,10,296694,615,1869,East,805747,2024,5,2024,Qtr 2,May,10,1,FB,Image,14938,Medium,High Reach
Facebook,14341,13,252632,4691,2300,East,114903,2024,5,2024,Qtr 2,May,13,1,FB,Text,21332,High,Low Reach
Facebook,1801,21,169596,187,1369,East,69449,2024,5,2024,Qtr 2,May,21,1,FB,Reel,3357,Low,Low Reach
Facebook,7335,7,25642,3826,2315,East,508176,2024,6,2024,Qtr 2,June,7,1,FB,Video,13476,Medium,High Reach
Facebook,9451,11,179425,1261,1146,East,561907,2024,6,2024,Qtr 2,June,11,1,FB,Reel,11858,Medium,High Reach
Facebook,9656,13,247637,2235,1449,East,496455,2024,6,2024,Qtr 2,June,13,1,FB,Video,13340,Medium,Low Reach
